127.0.0.1, 2017-03-20 09:15:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110325
127.0.0.1, 2017-03-20 09:15:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.258258
127.0.0.1, 2017-03-20 09:16:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.150720
127.0.0.1, 2017-03-20 09:16:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.287675
127.0.0.1, 2017-03-20 09:17:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.142136
127.0.0.1, 2017-03-20 09:17:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.283273
127.0.0.1, 2017-03-20 09:18:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052960
127.0.0.1, 2017-03-20 09:18:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.197099
127.0.0.1, 2017-03-20 09:19:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.117190
127.0.0.1, 2017-03-20 09:19:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.272540
127.0.0.1, 2017-03-20 09:20:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.112615
127.0.0.1, 2017-03-20 09:20:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.284512
127.0.0.1, 2017-03-20 09:21:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.086915
127.0.0.1, 2017-03-20 09:21:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.228975
127.0.0.1, 2017-03-20 09:22:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.136801
127.0.0.1, 2017-03-20 09:22:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.278242
127.0.0.1, 2017-03-20 09:23:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070951
127.0.0.1, 2017-03-20 09:23:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.216696
127.0.0.1, 2017-03-20 09:24:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.144774
127.0.0.1, 2017-03-20 09:24:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.299380
127.0.0.1, 2017-03-20 09:25:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089324
127.0.0.1, 2017-03-20 09:25:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.231755
127.0.0.1, 2017-03-20 09:26:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.132710
127.0.0.1, 2017-03-20 09:26:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.291778
127.0.0.1, 2017-03-20 09:27:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119439
127.0.0.1, 2017-03-20 09:27:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.259807
127.0.0.1, 2017-03-20 09:28:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061245
127.0.0.1, 2017-03-20 09:28:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.199787
127.0.0.1, 2017-03-20 09:29:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.042458
127.0.0.1, 2017-03-20 09:29:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.159323
127.0.0.1, 2017-03-20 09:30:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056047
127.0.0.1, 2017-03-20 09:30:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.200940
127.0.0.1, 2017-03-20 09:31:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.065542
127.0.0.1, 2017-03-20 09:31:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.184009
127.0.0.1, 2017-03-20 09:32:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.053871
127.0.0.1, 2017-03-20 09:32:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.169492
127.0.0.1, 2017-03-20 09:33:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046879
127.0.0.1, 2017-03-20 09:33:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.168125
127.0.0.1, 2017-03-20 09:34:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047921
127.0.0.1, 2017-03-20 09:34:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.168712
127.0.0.1, 2017-03-20 09:35:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069332
127.0.0.1, 2017-03-20 09:35:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.188468
127.0.0.1, 2017-03-20 09:36:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.105108
127.0.0.1, 2017-03-20 09:36:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.216047
127.0.0.1, 2017-03-20 09:37:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055775
127.0.0.1, 2017-03-20 09:37:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.193077
127.0.0.1, 2017-03-20 09:38:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047387
127.0.0.1, 2017-03-20 09:38:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.167359
127.0.0.1, 2017-03-20 09:39:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.095138
127.0.0.1, 2017-03-20 09:39:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.212257
127.0.0.1, 2017-03-20 09:40:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.105984
127.0.0.1, 2017-03-20 09:40:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.226051
127.0.0.1, 2017-03-20 09:41:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.127751
127.0.0.1, 2017-03-20 09:41:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.265296
127.0.0.1, 2017-03-20 09:42:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.116136
127.0.0.1, 2017-03-20 09:42:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.264628
127.0.0.1, 2017-03-20 09:43:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.127608
127.0.0.1, 2017-03-20 09:43:11, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 1.326251
127.0.0.1, 2017-03-20 09:44:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.119516
127.0.0.1, 2017-03-20 09:44:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.266301
127.0.0.1, 2017-03-20 09:45:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.137978
127.0.0.1, 2017-03-20 09:45:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.290532
127.0.0.1, 2017-03-20 09:46:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.135769
127.0.0.1, 2017-03-20 09:46:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.338971
127.0.0.1, 2017-03-20 09:47:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.071572
127.0.0.1, 2017-03-20 09:47:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.192166
127.0.0.1, 2017-03-20 09:48:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157287
127.0.0.1, 2017-03-20 09:48:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.292872
127.0.0.1, 2017-03-20 09:49:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096611
127.0.0.1, 2017-03-20 09:49:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.264822
127.0.0.1, 2017-03-20 09:50:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060040
127.0.0.1, 2017-03-20 09:50:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.220947
127.0.0.1, 2017-03-20 09:51:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.067336
127.0.0.1, 2017-03-20 09:51:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.210680
127.0.0.1, 2017-03-20 09:52:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046618
127.0.0.1, 2017-03-20 09:52:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.169711
127.0.0.1, 2017-03-20 09:53:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.074205
127.0.0.1, 2017-03-20 09:53:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.191704
127.0.0.1, 2017-03-20 09:54:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099826
127.0.0.1, 2017-03-20 09:54:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.235572
127.0.0.1, 2017-03-20 09:55:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.128588
127.0.0.1, 2017-03-20 09:55:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.248696
127.0.0.1, 2017-03-20 09:56:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.127665
127.0.0.1, 2017-03-20 09:56:10, GET, /control_inventario_dw/appadmin/hooks, HTTP/1.1, 200, 0.339173
127.0.0.1, 2017-03-20 09:57:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111958
